split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
16,4,0,71,0.2,24,W2-k-medoids,uniform observed subset,0.007651276165438812,,final structured retention evaluation
17,4,1,71,0.2,24,Facility Location,uniform observed subset,0.008494202871184575,,final structured retention evaluation
17,4,1,71,0.2,24,MRDS,uniform observed subset,0.0028432356958705183,0.0004348770368393682,final structured retention evaluation
17,4,1,71,0.2,24,W2-k-medoids,uniform observed subset,0.004123206075037012,,final structured retention evaluation
18,4,2,71,0.2,24,Facility Location,uniform observed subset,0.008193591516136859,,final structured retention evaluation
18,4,2,71,0.2,24,MRDS,uniform observed subset,0.0029053287576963206,0.0004384773126285288,final structured retention evaluation
18,4,2,71,0.2,24,W2-k-medoids,uniform observed subset,0.007340438909048667,,final structured retention evaluation
19,4,3,71,0.2,24,Facility Location,uniform observed subset,0.011018223530765989,,final structured retention evaluation
19,4,3,71,0.2,24,MRDS,uniform observed subset,0.0038164398720325985,0.0009630820728115887,final structured retention evaluation
19,4,3,71,0.2,24,W2-k-medoids,uniform observed subset,0.007946542155673447,,final structured retention evaluation
0,0,0,11,0.3,36,Facility Location,uniform observed subset,0.0036637521446718758,,final structured retention evaluation
0,0,0,11,0.3,36,MRDS,uniform observed subset,0.0023292088567697503,0.00039216462045185414,final structured retention evaluation
0,0,0,11,0.3,36,W2-k-medoids,uniform observed subset,0.005569860540746289,,final structured retention evaluation
1,0,1,11,0.3,36,Facility Location,uniform observed subset,0.0036692592808440757,,final structured retention evaluation
1,0,1,11,0.3,36,MRDS,uniform observed subset,0.0028261443286419895,0.00023647532837653534,final structured retention evaluation
1,0,1,11,0.3,36,W2-k-medoids,uniform observed subset,0.004632516883800176,,final structured retention evaluation
2,0,2,11,0.3,36,Facility Location,uniform observed subset,0.002990052449238207,,final structured retention evaluation
2,0,2,11,0.3,36,MRDS,uniform observed subset,0.0018088324710715592,0.0003819740162869397,final structured retention evaluation
2,0,2,11,0.3,36,W2-k-medoids,uniform observed subset,0.0032785779677372254,,final structured retention evaluation
