split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,weight_mode,balanced_accuracy,macro_f1,auroc,sensitivity,specificity,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition
3,0,3,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,uniform,0.5,0.4117647058823529,0.5,0.0,1.0,12.0,0.0,1.0
3,0,3,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,voronoi,0.5,0.4117647058823529,0.5,0.0,1.0,12.0,0.0,1.0
3,0,3,11,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5416666666666666,0.49483352468427094,0.5416666666666666,0.08333333333333333,1.0,12.0,0.0,1.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,uniform,0.875,0.9031476997578692,0.9047619047619049,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,voronoi,0.875,0.9031476997578692,0.9166666666666667,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,renyi,0.875,0.9031476997578692,0.9047619047619049,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,uniform,0.8333333333333333,0.8666666666666667,0.9166666666666667,0.6666666666666666,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,voronoi,0.8333333333333333,0.8666666666666667,0.9166666666666667,0.6666666666666666,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,renyi,0.8333333333333333,0.8666666666666667,0.9166666666666667,0.6666666666666666,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,uniform,0.875,0.9031476997578692,0.9017857142857143,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,voronoi,0.875,0.9031476997578692,0.9166666666666667,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,renyi,0.875,0.9031476997578692,0.9017857142857143,0.75,1.0,9.0,3.0,3.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,uniform,0.875,0.9031476997578692,0.892857142857143,0.75,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,voronoi,0.875,0.9031476997578692,0.9107142857142858,0.75,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,renyi,0.875,0.9031476997578692,0.892857142857143,0.75,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,uniform,0.8333333333333333,0.8666666666666667,0.9166666666666667,0.6666666666666666,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,voronoi,0.7916666666666667,0.8274374460742019,0.8333333333333333,0.5833333333333334,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS projected,initializer,12,renyi,0.8333333333333333,0.8666666666666667,0.9166666666666667,0.6666666666666666,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,uniform,0.8571428571428572,0.8746081504702194,0.867559523809524,0.75,0.9642857142857143,11.0,1.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,voronoi,0.8809523809523809,0.8809523809523809,0.8541666666666667,0.8333333333333334,0.9285714285714286,11.0,1.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,renyi,0.8571428571428572,0.8746081504702194,0.8705357142857144,0.75,0.9642857142857143,11.0,1.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,uniform,0.875,0.9031476997578692,0.892857142857143,0.75,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,voronoi,0.875,0.9031476997578692,0.9107142857142858,0.75,1.0,10.0,2.0,2.0
3,0,3,11,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,renyi,0.875,0.9031476997578692,0.892857142857143,0.75,1.0,10.0,2.0,2.0
4,1,0,23,all40,120,40,30,10,1.0,Full training set,no reduction,120,uniform,0.8630952380952381,0.8545454545454545,0.8184523809523809,0.8333333333333334,0.8928571428571429,,,
4,1,0,23,all40,120,40,30,10,0.1,Random,initializer,12,uniform,0.5,0.4117647058823529,0.5416666666666666,0.0,1.0,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,Random,initializer,12,voronoi,0.5,0.4117647058823529,0.5416666666666666,0.0,1.0,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,Random,initializer,12,renyi,0.5654761904761905,0.5487179487179488,0.6056547619047619,0.16666666666666666,0.9642857142857143,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,uniform,0.5416666666666666,0.49483352468427094,0.5833333333333334,0.08333333333333333,1.0,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,voronoi,0.5,0.4117647058823529,0.5416666666666666,0.0,1.0,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,renyi,0.5,0.23076923076923078,0.5,1.0,0.0,8.0,4.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,uniform,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
4,1,0,23,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,voronoi,0.75,0.7849462365591398,0.7916666666666667,0.5,1.0,10.0,2.0,3.0
