split,repeat,fold,seed,feature_set,n_train,n_test,n_train_conditions,n_test_conditions,budget,method,stage,n_selected,n_unique_selected_conditions,n_duplicate_condition_slots,max_selected_per_condition,reduction_fraction,alpha,max_atoms,bandwidth,distance_backend,distance_seconds,m,coverage_mean,coverage_max,renyi_meta,renyi_meta_uniform,renyi_meta_weighted,mmd2,subset_1nn_accuracy,subset_1nn_balanced_accuracy,subset_1nn_macro_f1,class_proportion_l1
5,1,1,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.981346321867214,emd_exact,0.38196500000776723,12,4.887172419444152,34.16021913819776,0.007221326740614002,0.007221326740614002,0.003255827144448552,0.02937324753171877,0.95,0.9375,0.9430199430199431,0.16666666666666663
5,1,1,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,11.981346321867214,emd_exact,0.38196500000776723,12,6.40105970542632,13.496230489605562,0.023414008726061974,0.023414008726061974,0.01124671115239631,0.13661342460527803,0.975,0.975,0.9720475192173306,0.16666666666666663
5,1,1,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.981346321867214,emd_exact,0.38196500000776723,12,6.2005298192508445,23.646069359248337,0.01663712819041085,0.01663712819041085,0.005343271347476907,0.0702192877645299,0.975,0.975,0.9720475192173306,0.3333333333333333
5,1,1,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,8,4,3,0.9,2.0,8,11.981346321867214,emd_exact,0.38196500000776723,12,4.887172419444152,34.16021913819776,0.007221326740614002,0.007221326740614002,0.003255827144448552,0.02937324753171877,0.95,0.9375,0.9430199430199431,0.16666666666666663
6,1,2,23,all40,120,40,30,10,0.1,Random,initializer,12,8,4,3,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,17.44365925851103,1128.0631784222076,13.871700233927898,13.871700233927898,10.403131945435122,1.5316444547045436,0.975,0.96875,0.9716958880415127,0.33333333333333337
6,1,2,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,17.964160921405696,1128.0631784222076,13.744755330727362,13.744755330727362,9.698071071710588,1.5271518280807068,0.9166666666666666,0.8875,0.9023119505047217,0.33333333333333337
6,1,2,23,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,9,3,3,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,4.791132527065775,26.63083582976438,0.019646544832243762,0.019646544832243762,0.007975465834037243,0.08642709221220957,0.9833333333333333,0.975,0.9810066476733144,0.16666666666666663
6,1,2,23,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,4.898790398443278,32.676962525216766,0.0122339813471983,0.0122339813471983,0.004776461111093841,0.03798953606206101,0.9833333333333333,0.975,0.9810066476733144,0.16666666666666663
6,1,2,23,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,2,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,4.695068820942489,26.63083582976438,0.01634565679167154,0.01634565679167154,0.008167978944894608,0.08499554661115838,0.9916666666666667,0.9875,0.9905652960138376,0.0
6,1,2,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,4.832791621634734,32.676962525216766,0.012373354418941681,0.012373354418941681,0.00482982553185236,0.03776487099487791,0.9916666666666667,0.9875,0.9905652960138376,0.16666666666666663
6,1,2,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,6.701361500297969,12.032952440491467,0.056261189169405514,0.056261189169405514,0.01224607477080964,0.14659230933635325,0.825,0.7375,0.7640228485813279,0.16666666666666663
6,1,2,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,5.937022852633827,26.63083582976438,0.03727726021126006,0.03727726021126006,0.005993132877599434,0.07732345571942012,0.9833333333333333,0.9875,0.9814757641247298,0.3333333333333333
6,1,2,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,9,3,3,0.9,2.0,8,11.406286331113014,emd_exact,0.386650100001134,12,4.898790398443278,32.676962525216766,0.0122339813471983,0.0122339813471983,0.004776461111093841,0.03798953606206101,0.9833333333333333,0.975,0.9810066476733144,0.16666666666666663
7,1,3,23,all40,120,40,30,10,0.1,Random,initializer,12,8,4,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,17.15377168379992,1149.5589581942227,14.530710643051275,14.530710643051275,10.793472617392572,1.53343107459089,0.9416666666666667,0.9345238095238095,0.9310967106882126,0.2666666666666667
7,1,3,23,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,9,3,2,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,16.104264899290083,1096.901245998263,13.840957156241025,13.840957156241025,10.081631743282431,1.5348359862153405,0.9416666666666667,0.9345238095238095,0.9310967106882126,0.2666666666666667
7,1,3,23,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,9,3,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,4.651581985392892,14.883673248377555,0.011401761697195242,0.011401761697195242,0.006503851864055553,0.07809107287177919,0.9583333333333334,0.9464285714285714,0.9499958329860821,0.06666666666666665
7,1,3,23,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,4.823841646019813,29.6689000900772,0.007878513348135715,0.007878513348135715,0.0034266119297507625,0.036448929687451836,0.9583333333333334,0.9464285714285714,0.9499958329860821,0.06666666666666665
7,1,3,23,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,10,2,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,4.620380972246674,14.883673248377555,0.01148562494010733,0.01148562494010733,0.0067472151034859125,0.0790648592588582,0.975,0.9662698412698413,0.9699974997916493,0.06666666666666665
7,1,3,23,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,9,3,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,4.790388530767378,29.6689000900772,0.007868093680204134,0.007868093680204134,0.0035329930343940136,0.03745511782997191,0.975,0.9662698412698413,0.9699974997916493,0.06666666666666665
7,1,3,23,all40,120,40,30,10,0.1,MRDS projected,initializer,12,11,1,2,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,5.475891693853557,11.227391713484032,0.018962594364623754,0.018962594364623754,0.008262982411869391,0.11069282723256035,0.9666666666666667,0.9444444444444444,0.9589603283173734,0.23333333333333328
7,1,3,23,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,5.643254570976372,36.97662622206507,0.012496872631489277,0.012496872631489277,0.0042605147575673005,0.05343945679464934,0.9583333333333334,0.9305555555555556,0.948235700112156,0.23333333333333328
7,1,3,23,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=FacilityLocation,12,8,4,3,0.9,2.0,8,11.606678430834542,emd_exact,0.35856079997029155,12,4.823841646019813,29.6689000900772,0.007878513348135715,0.007878513348135715,0.0034266119297507625,0.036448929687451836,0.9583333333333334,0.9464285714285714,0.9499958329860821,0.06666666666666665
8,2,0,37,all40,120,40,30,10,0.1,Random,initializer,12,12,0,1,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,5.733478131907352,57.660729762959754,1.4674433086975855,1.4674433086975855,0.5115686882567824,0.4662008021793753,0.975,0.9625,0.9713170265317504,0.16666666666666669
8,2,0,37,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,5.313696439167808,18.214176955487797,0.0111122542491067,0.0111122542491067,0.01778888297664753,0.0811456097575165,0.975,0.9625,0.9713170265317504,0.16666666666666669
8,2,0,37,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,4.267320186918439,15.621674433117226,0.010159097411616759,0.010159097411616759,0.0035367457303630296,0.02687138043514481,0.9583333333333334,0.95,0.9528264800691879,0.16666666666666663
8,2,0,37,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,4.35618949479412,15.621674433117226,0.008029326759904918,0.008029326759904918,0.0016531606546924629,0.013437021434197893,0.9583333333333334,0.95,0.9528264800691879,0.16666666666666663
8,2,0,37,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,4.17878877076356,10.907944456068495,0.005155702451451936,0.005155702451451936,0.0027318589531395805,0.026775092966186076,0.975,0.96875,0.9716958880415127,0.0
8,2,0,37,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,4.3058873132887205,10.907944456068495,0.004133980283036149,0.004133980283036149,0.0016466691339475984,0.01579073848830026,0.9666666666666667,0.95625,0.9620132953466287,0.0
8,2,0,37,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,5.771969361110928,11.904423877967627,0.010427588931776779,0.010427588931776779,0.003926270440476715,0.0582687350688752,0.925,0.8999999999999999,0.9127272727272727,0.16666666666666663
8,2,0,37,all40,120,40,30,10,0.1,MRDS-IS-R (proposed),same-objective one-swap refinement,12,10,2,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,5.457353518433294,14.208496916090102,0.007479725809938056,0.007479725809938056,0.002025032541324094,0.03172551723630679,0.95,0.9375,0.9430199430199431,0.16666666666666663
8,2,0,37,all40,120,40,30,10,0.1,Best-of-starts-R (diagnostic only),diagnostic oracle over supplied starts; winner=W2-KMedoids,12,11,1,2,0.9,2.0,8,11.142431583723578,emd_exact,0.3433934000204317,12,4.3058873132887205,10.907944456068495,0.004133980283036149,0.004133980283036149,0.0016466691339475984,0.01579073848830026,0.9666666666666667,0.95625,0.9620132953466287,0.0
9,2,1,37,all40,120,40,30,10,0.1,Random,initializer,12,12,0,1,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,16.9038218521464,1092.5224738535221,14.676636063572861,14.676636063572861,13.45511837859155,1.1866071515069172,0.9666666666666667,0.95,0.9614890885750962,0.16666666666666669
9,2,1,37,all40,120,40,30,10,0.1,Random-R,same-objective one-swap refinement,12,12,0,1,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,15.406070292421187,1020.8011559392431,13.903074244747682,13.903074244747682,9.756694178219647,1.526170347916731,0.9666666666666667,0.95,0.9614890885750962,0.16666666666666669
9,2,1,37,all40,120,40,30,10,0.1,FacilityLocation,initializer,12,8,4,3,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,4.872030691720568,22.851403733248628,0.018909409360045204,0.018909409360045204,0.008745376792452188,0.10322816761667675,0.9583333333333334,0.9375,0.9515151515151515,0.0
9,2,1,37,all40,120,40,30,10,0.1,FacilityLocation-R,same-objective one-swap refinement,12,8,4,3,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,5.020898178337976,34.27086872551034,0.012193453136135082,0.012193453136135082,0.004322266538771505,0.04346302883764264,0.9583333333333334,0.9375,0.9515151515151515,0.0
9,2,1,37,all40,120,40,30,10,0.1,W2-KMedoids,initializer,12,8,4,3,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,4.7963208666539,22.851403733248628,0.01655564177921355,0.01655564177921355,0.008466053874434809,0.09588645699933318,0.9833333333333333,0.975,0.9810066476733144,0.0
9,2,1,37,all40,120,40,30,10,0.1,W2-KMedoids-R,same-objective one-swap refinement,12,7,5,3,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,5.002057159249512,34.2658111317861,0.011032834767593609,0.011032834767593609,0.004223869296674714,0.03994644171983475,0.95,0.95625,0.945054945054945,0.16666666666666663
9,2,1,37,all40,120,40,30,10,0.1,MRDS projected,initializer,12,10,2,2,0.9,2.0,8,11.730644906811234,emd_exact,0.35524900001473725,12,6.56319887124573,13.36741415499344,0.03448633720760824,0.03448633720760824,0.014513808552508608,0.15941115904255687,0.7666666666666667,0.65,0.6563011456628478,0.0
